
New York City Housing and Vacancy Survey - Series IA - Table 9


RENTER OCCUPIED HOUSING UNITS BY RENT REGULATION STATUS
SERIES IA - TABLE 9

1998 TOTAL HOUSEHOLD INCOME


,"TOTAL
RENTER
OCCUPIED",CONTROLLED,"TOTAL
STABILIZED","STABILIZED
BUILT PRE-
1947","STABILIZED
BUILT 1947
OR LATER","MITCHELL
LAMA","PUBLIC
HOUSING","ALL OTHER
RENTER
HOUSING"
TOTAL.............................,1953289,52562,1020588,749010,271578,67146,169339,643655
". LESS THAN $5,000/LOSS/NO INCOME",175342,4769,87972,69015,18957,5940,28897,47763
". $5,000 TO $9,999 ..............",257951,10008,119961,93426,26535,9149,57240,61593
". $10,000 TO $14,999 ............",194076,9233,96096,73681,22415,9266,25902,53579
". $15,000 TO $19,999 ............",151295,7026,83572,60155,23417,7367,10817,42513
". $20,000 TO $24,999 ............",149033,3511,83382,64059,19323,5261,13199,43680
". $25,000 TO $29,999 ............",132168,1944,71311,53590,17721,5369,9113,44430
". $30,000 TO $34,999 ............",119129,2864,62402,43530,18872,4291,6793,42778
". $35,000 TO $39,999 ............",109704,1983,59447,43497,15950,2872,5201,40203
". $40,000 TO $49,999 ............",171950,2968,95306,71473,23834,5053,4918,63705
". $50,000 TO $59,999 ............",133298,2849,70391,50810,19581,4790,3281,51987
". $60,000 TO $69,999 ............",98200,1033,51800,33526,18275,3073,1338,40956
". $70,000 TO $79,999 ............",69922,541,37205,25509,11696,900,1184,30092
". $80,000 TO $89,999 ............",43663,985,25748,18513,7235,919,621,15390
". $90,000 TO $99,999 ............",32234,350,17045,10418,6627,337,416,14087
". $100,000 TO $124,999 ..........",56174,1004,28932,17562,11370,1763,193,24281
". $125,000 OR MORE ..............",59150,1494,30017,20246,9771,795,225,26619
. MEDIAN.........................,26000,17000,27000,25580,30400,21611,9704,32000
. MEAN...........................,36987,27401,36968,35318,41519,29622,15541,44210

1999 NEW YORK CITY HOUSING AND VACANCY SURVEY
RENTER OCCUPIED HOUSING UNITS BY RENT REGULATION STATUS
SERIES IA - TABLE 9

1998 TOTAL HOUSEHOLD INCOME


,"TOTAL
RENTER
OCCUPIED",CONTROLLED,"TOTAL
STABILIZED","STABILIZED
BUILT PRE-
1947","STABILIZED
BUILT 1947
OR LATER","MITCHELL
LAMA","PUBLIC
HOUSING","ALL OTHER
RENTER
HOUSING"
TOTAL.............................,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
". LESS THAN $5,000/LOSS/NO INCOME",9.0,9.1,8.6,9.2,7.0,8.8,17.1,7.4
". $5,000 TO $9,999 ..............",13.2,19.0,11.8,12.5,9.8,13.6,33.8,9.6
". $10,000 TO $14,999 ............",9.9,17.6,9.4,9.8,8.3,13.8,15.3,8.3
". $15,000 TO $19,999 ............",7.7,13.4,8.2,8.0,8.6,11.0,6.4,6.6
". $20,000 TO $24,999 ............",7.6,6.7,8.2,8.6,7.1,7.8,7.8,6.8
". $25,000 TO $29,999 ............",6.8,3.7,7.0,7.2,6.5,8.0,5.4,6.9
". $30,000 TO $34,999 ............",6.1,5.4,6.1,5.8,6.9,6.4,4.0,6.6
". $35,000 TO $39,999 ............",5.6,3.8,5.8,5.8,5.9,4.3,3.1,6.2
". $40,000 TO $49,999 ............",8.8,5.6,9.3,9.5,8.8,7.5,2.9,9.9
". $50,000 TO $59,999 ............",6.8,5.4,6.9,6.8,7.2,7.1,1.9,8.1
". $60,000 TO $69,999 ............",5.0,2.0,5.1,4.5,6.7,4.6,0.8,6.4
". $70,000 TO $79,999 ............",3.6,1.0,3.6,3.4,4.3,1.3,0.7,4.7
". $80,000 TO $89,999 ............",2.2,1.9,2.5,2.5,2.7,1.4,0.4,2.4
". $90,000 TO $99,999 ............",1.7,0.7,1.7,1.4,2.4,0.5,0.2,2.2
". $100,000 TO $124,999 ..........",2.9,1.9,2.8,2.3,4.2,2.6,0.1,3.8
". $125,000 OR MORE ..............",3.0,2.8,2.9,2.7,3.6,1.2,0.1,4.1
. MEDIAN.........................,X,X,X,X,X,X,X,X
. MEAN...........................,X,X,X,X,X,X,X,X
,

Go to,NYCHVS - Series IA Index [http://www.census.gov/housing/nychvs/data/1999/ser1a.html],
Go to,New York City [http://www.census.gov/housing/nychvs/data/1999/nychvs99.html],Housing and Vacancy Survey

