
New York City Housing and Vacancy Survey - Series IA - Table 9


RENTER OCCUPIED HOUSING UNITS BY RENT REGULATION STATUS
SERIES IA - TABLE 9
2001 TOTAL HOUSEHOLD INCOME


,"TOTAL
RENTER
OCCUPIED",CONTROLLED,"TOTAL
STABILIZED","STABILIZED
BUILT PRE
1947","STABILIZED
BUILT 1947
OR LATER","MITCHELL
LAMA","PUBLIC
HOUSING","ALL OTHER
RENTER
HOUSING"
TOTAL.............................,2023504,59324,988393,752130,236263,63818,174490,737479
"LESS THAN $5,000/LOSS/NO INCOME",140230,5143,67300,55492,11809,5956,22322,39508
"$5,000 TO $9,999 ..............",234954,10464,97566,75941,21625,9803,55088,62033
"$10,000 TO $14,999 ............",170855,7662,85967,65325,20642,6617,23943,46666
"$15,000 TO $19,999 ............",150832,6149,73660,54078,19582,4098,17830,49095
"$20,000 TO $24,999 ............",136954,4958,66351,51993,14358,4383,11977,49285
"$25,000 TO $29,999 ............",120091,1574,61318,50200,11118,5119,10820,41262
"$30,000 TO $34,999 ............",143557,3094,73339,57557,15783,5199,8307,53618
"$35,000 TO $39,999 ............",104919,1478,49839,39136,10703,4124,5421,44058
"$40,000 TO $49,999 ............",190771,5711,96910,75854,21056,7240,7249,73661
"$50,000 TO $59,999 ............",145911,3129,72176,52306,19870,2601,4545,63460
"$60,000 TO $69,999 ............",111883,2134,58873,41449,17424,2811,1769,46296
"$70,000 TO $79,999 ............",93601,2281,51325,37224,14101,1980,1999,36015
"$80,000 TO $89,999 ............",60821,1190,32650,22772,9878,1265,0,25715
"$90,000 TO $99,999 ............",39902,1118,19470,13651,5818,220,1336,17758
"$100,000 TO $124,999 ..........",73283,977,34549,22591,11958,1486,346,35924
"$125,000 OR MORE ..............",104940,2263,47098,36561,10537,915,1539,53125
MEDIAN.........................,31000,20120,32000,31000,35650,25600,11988,37000
MEAN...........................,45583,36003,46439,46099,47521,31358,19009,52726


2002 NEW YORK CITY HOUSING AND VACANCY SURVEY
RENTER OCCUPIED HOUSING UNITS BY RENT REGULATION STATUS
SERIES IA - TABLE 9
2001 TOTAL HOUSEHOLD INCOME


,"TOTAL
RENTER
OCCUPIED",CONTROLLED,"TOTAL
STABILIZED","STABILIZED
BUILT PRE
1947","STABILIZED
BUILT 1947
OR LATER","MITCHELL
LAMA","PUBLIC
HOUSING","ALL OTHER
RENTER
HOUSING"
TOTAL.............................,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"LESS THAN $5,000/LOSS/NO INCOME",6.9,8.7,6.8,7.4,5.0,9.3,12.8,5.4
"$5,000 TO $9,999 ..............",11.6,17.6,9.9,10.1,9.2,15.4,31.6,8.4
"$10,000 TO $14,999 ............",8.4,12.9,8.7,8.7,8.7,10.4,13.7,6.3
"$15,000 TO $19,999 ............",7.5,10.4,7.5,7.2,8.3,6.4,10.2,6.7
"$20,000 TO $24,999 ............",6.8,8.4,6.7,6.9,6.1,6.9,6.9,6.7
"$25,000 TO $29,999 ............",5.9,2.7,6.2,6.7,4.7,8.0,6.2,5.6
"$30,000 TO $34,999 ............",7.1,5.2,7.4,7.7,6.7,8.1,4.8,7.3
"$35,000 TO $39,999 ............",5.2,2.5,5.0,5.2,4.5,6.5,3.1,6.0
"$40,000 TO $49,999 ............",9.4,9.6,9.8,10.1,8.9,11.3,4.2,10.0
"$50,000 TO $59,999 ............",7.2,5.3,7.3,7.0,8.4,4.1,2.6,8.6
"$60,000 TO $69,999 ............",5.5,3.6,6.0,5.5,7.4,4.4,1.0,6.3
"$70,000 TO $79,999 ............",4.6,3.8,5.2,4.9,6.0,3.1,1.1,4.9
"$80,000 TO $89,999 ............",3.0,2.0,3.3,3.0,4.2,2.0,0.0,3.5
"$90,000 TO $99,999 ............",2.0,1.9,2.0,1.8,2.5,0.3,0.8,2.4
"$100,000 TO $124,999 ..........",3.6,1.6,3.5,3.0,5.1,2.3,0.2,4.9
"$125,000 OR MORE ..............",5.2,3.8,4.8,4.9,4.5,1.4,0.9,7.2
MEDIAN.........................,X,X,X,X,X,X,X,X
MEAN...........................,X,X,X,X,X,X,X,X
,

Go to,NYCHVS - Series IA Index [http://www.census.gov/housing/nychvs/data/2002/ser1a.html],
Go to,2002 New York City [http://www.census.gov/housing/nychvs/data/2002/nychvs02.html],Housing and Vacancy Survey

