
New York City Housing and Vacancy Survey - Series IA - Table 9



RENTER OCCUPIED HOUSING UNITS BY RENT REGULATION STATUS
SERIES IA - TABLE 9
2004 TOTAL HOUSEHOLD INCOME
-


,"TOTAL
RENTER
OCCUPIED",CONTROLLED,"TOTAL
STABILIZED","STABILIZED
BUILT PRE-
1947","STABILIZED
BUILT 1947
OR LATER","MITCHELL
LAMA","PUBLIC
HOUSING","ALL OTHER
RENTER
HOUSING"
TOTAL.............................,2027626,43317,1015655,726070,289584,58944,167539,742171
"LESS THAN $5,000/LOSS/NO INCOME",134222,4149,64525,47102,17423,3481,19438,42628
"$5,000 TO $9,999 ..............",213920,5758,90279,66016,24262,10204,46799,60880
"$10,000 TO $14,999 ............",170744,6833,85943,61249,24694,6283,21844,49841
"$15,000 TO $19,999 ............",156308,3772,81219,61339,19880,7674,14459,49184
"$20,000 TO $24,999 ............",142182,3303,76142,54939,21203,3459,14987,44289
"$25,000 TO $29,999 ............",117722,1819,61208,41577,19631,3115,10602,40979
"$30,000 TO $34,999 ............",130624,3061,70502,52754,17748,2775,11102,43184
"$35,000 TO $39,999 ............",106706,1539,54090,41450,12640,3011,8347,39719
"$40,000 TO $49,999 ............",193501,1822,105567,74912,30654,4056,9574,72483
"$50,000 TO $59,999 ............",146267,1686,72804,50145,22659,5287,4040,62449
"$60,000 TO $69,999 ............",115673,3124,56074,39338,16736,2479,3285,50711
"$70,000 TO $79,999 ............",86793,446,48053,32650,15403,2265,935,35094
"$80,000 TO $89,999 ............",73867,1274,37982,26835,11147,1513,427,32671
"$90,000 TO $99,999 ............",46432,1135,23909,16874,7035,1052,854,19481
"$100,000 TO $124,999 ..........",77661,2138,35698,24764,10934,934,585,38305
"$125,000 OR MORE ..............",115005,1458,51660,34125,17535,1355,259,60274
MEDIAN.........................,32000,22176,32000,32000,34840,22000,13902,40000
MEAN...........................,46704,37059,45836,44280,49739,33183,19808,55600


2005 NEW YORK CITY HOUSING AND VACANCY SURVEY
RENTER OCCUPIED HOUSING UNITS BY RENT REGULATION STATUS
SERIES IA - TABLE 9
2004 TOTAL HOUSEHOLD INCOME


,"TOTAL
RENTER
OCCUPIED",CONTROLLED,"TOTAL
STABILIZED","STABILIZED
BUILT PRE-
1947","STABILIZED
BUILT 1947
OR LATER","MITCHELL
LAMA","PUBLIC
HOUSING","ALL OTHER
RENTER
HOUSING"
TOTAL.............................,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"LESS THAN $5,000/LOSS/NO INCOME",6.6,9.6,6.4,6.5,6.0,5.9,11.6,5.7
"$5,000 TO $9,999 ..............",10.6,13.3,8.9,9.1,8.4,17.3,27.9,8.2
"$10,000 TO $14,999 ............",8.4,15.8,8.5,8.4,8.5,10.7,13.0,6.7
"$15,000 TO $19,999 ............",7.7,8.7,8.0,8.4,6.9,13.0,8.6,6.6
"$20,000 TO $24,999 ............",7.0,7.6,7.5,7.6,7.3,5.9,8.9,6.0
"$25,000 TO $29,999 ............",5.8,4.2,6.0,5.7,6.8,5.3,6.3,5.5
"$30,000 TO $34,999 ............",6.4,7.1,6.9,7.3,6.1,4.7,6.6,5.8
"$35,000 TO $39,999 ............",5.3,3.6,5.3,5.7,4.4,5.1,5.0,5.4
"$40,000 TO $49,999 ............",9.5,4.2,10.4,10.3,10.6,6.9,5.7,9.8
"$50,000 TO $59,999 ............",7.2,3.9,7.2,6.9,7.8,9.0,2.4,8.4
"$60,000 TO $69,999 ............",5.7,7.2,5.5,5.4,5.8,4.2,2.0,6.8
"$70,000 TO $79,999 ............",4.3,1.0,4.7,4.5,5.3,3.8,0.6,4.7
"$80,000 TO $89,999 ............",3.6,2.9,3.7,3.7,3.8,2.6,0.3,4.4
"$90,000 TO $99,999 ............",2.3,2.6,2.4,2.3,2.4,1.8,0.5,2.6
"$100,000 TO $124,999 ..........",3.8,4.9,3.5,3.4,3.8,1.6,0.3,5.2
"$125,000 OR MORE ..............",5.7,3.4,5.1,4.7,6.1,2.3,0.2,8.1
MEDIAN.........................,X,X,X,X,X,X,X,X
MEAN...........................,X,X,X,X,X,X,X,X
,

Go to,NYCHVS - Series IA Index [http://www.census.gov/housing/nychvs/data/2005/ser1a.html],
Go to,2005 New York City [http://www.census.gov/housing/nychvs/data/2005/nychvs05.html],Housing and Vacancy Survey

